Strategy,Initial Value,Final Value,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Trading Days
RL Agent,100000.0,186937.83037077714,86.93783037077714,41.08887851750151,21.48200072483552,1.6168021292752457,2.21816445041522,-21.617269684185484,60.26200873362445,458
SPY,100000.0,148589.40509671698,48.589405096716966,24.34572707713254,16.726804823144388,1.2664855315067867,1.5980198848469043,-18.75523040397226,58.29694323144105,458
