Strategy,Initial Value,Final Value,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Trading Days
RL Agent,100000,148285,48.28,24.21,23.5,1.016,1.409,-26.15,57.42,458
SPY,100000,148589,48.59,24.35,18.5,1.266,1.598,-18.76,58.3,458
