Strategy,Initial Value,Final Value,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Trading Days
Agent_42,100000.0,162905.84206982423,62.91,30.8,20.17,1.333,1.825,-23.06,58.95,458
Agent_123,100000.0,150309.16814897157,50.31,25.14,27.9,0.87,1.218,-32.89,55.68,458
Agent_456,100000.0,190702.2228181801,90.7,42.65,26.26,1.407,1.96,-25.5,58.3,458
Agent_789,100000.0,154031.69511433414,54.03,26.83,25.1,0.992,1.365,-29.32,55.24,458
Agent_1011,100000.0,147440.26771565247,47.44,23.82,21.62,1.003,1.392,-26.15,57.21,458
Ensemble,100000.0,148526.17750794222,48.53,24.32,28.85,0.828,1.167,-33.34,55.02,458
SPY,100000.0,148589.41489889447,48.59,24.35,16.73,1.266,1.598,-18.76,58.3,458
