Strategy,Initial Value,Final Value,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Trading Days
RL Agent,100000.0,162905.84206982423,62.90584206982424,30.801112224035386,20.16839746931012,1.3327701977814492,1.824724534349244,-23.0634598255647,58.951965065502186,458
SPY,100000.0,148589.39529454077,48.58939529454076,24.345722563766103,16.726805458274715,1.2664852720547504,1.598020254534937,-18.755230403972263,58.29694323144105,458
