Strategy,Initial Value,Final Value,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%),Trading Days
RL Agent,100000.0,166617.3118246155,66.6173118246155,32.4324697543289,19.9647917272949,1.406484612867096,1.8919331259937782,-21.745138912508992,56.98689956331878,458
SPY,100000.0,148589.39529454077,48.58939529454076,24.345722563766103,16.72680293624495,1.266485437229521,1.5980206122274447,-18.75523856516152,58.29694323144105,458
